web_scraper_order,web_scraper_start_url,pagination,data,review_date,review_count,context,buyer,title,rating,image,url,listing_id
1781167347-987,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=235,"Kelly on Jun 9, 2024",2024-06-09,1.0,It’s much smaller than expected but it’s so so cute! The communication with the seller was great. She made several changes for me and was very quick to respond!,Kelly,"Custom puzzle cartoon character, Kids puzzle custom, Bandit father day jigsaw puzzle bluey themed for fathers gift, Personalize Bluey puzzle",5 out of 5 stars,https://i.etsystatic.com/6017009726/r/il/149f8b/6017009726/il_340x270.6017009726_r38r.jpg,https://www.etsy.com/listing/1737059973/custom-puzzle-cartoon-character-kids?ref=shop_review,1737059973
1781167347-989,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=235,"Lisa on May 4, 2024",2024-05-04,1.0,"The seller put extra effort into customer service and packaging, which was greatly appreciated. The shoes have held up too after lots of wear and are very cute.",Lisa,Custom Converse Chuck Taylor 1970s Embroidery Logo • Converse personal shoes • Vietnamese handmade shoe • handmade embroidered • custom vans,5 out of 5 stars,https://i.etsystatic.com/5898674615/r/il/184d63/5898674615/il_340x270.5898674615_lidk.jpg,https://www.etsy.com/listing/1681972920/custom-converse-chuck-taylor-1970s?ref=shop_review,1681972920
1781167347-991,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=235,"Caroline on Mar 16, 2024",2024-03-16,1.0,Absolutely adorable baskets for kids!,Caroline,"Personalized Rattan Basket Doll House, Unique Wicker Miniature Dollhouse, Custom Kids Rattan Small Shoulder Bags Gift, Baby Nursery Decor",5 out of 5 stars,https://i.etsystatic.com/5695160118/r/il/ac332c/5695160118/il_340x270.5695160118_4bjx.jpg,https://www.etsy.com/listing/1471895553/personalized-rattan-basket-doll-house?ref=shop_review,1471895553
1781167347-992,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=235,"Robin on Mar 1, 2024",2024-03-01,1.0,My granddaughter will love this for her Easter gift!,Robin,"Custom name pink rattan house shoulder bag, unique doll house rattan bag, Kids rattan shoulder bags, Baby nursery decor, rattan kids gift",5 out of 5 stars,https://i.etsystatic.com/4862462458/r/il/cb8cb0/4862462458/il_340x270.4862462458_ev23.jpg,https://www.etsy.com/listing/1457702844/custom-name-pink-rattan-house-shoulder?ref=shop_review,1457702844
1781167347-994,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=235,"Etsy buyer on Feb 10, 2024",2024-02-10,15.0,Very pleased! I had hoped they would be as cute as the picture. I bought two for Easter and they’re perfect for my little granddaughters. Thank you.,Etsy buyer,"Big size- Custom name rattan house bag, unique doll house rattan bag, Kids rattan shoulder bags, Baby nursery decor, rattan kids gift",5 out of 5 stars,https://i.etsystatic.com/4862352840/r/il/1a6b56/4862352840/il_340x270.4862352840_l48h.jpg,https://www.etsy.com/listing/1457691782/big-size-custom-name-rattan-house-bag?ref=shop_review,1457691782
1781167355-998,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=236,"Etsy buyer on Jan 17, 2024",2024-01-17,2.0,Really cute and good quality.,Etsy buyer,"PERSONALISED NAME Big Size Rattan mushroom house bags, Rattan Fairy House, Wicker Mushroom Doll House. Perfect Nursery/kids gift",5 out of 5 stars,https://i.etsystatic.com/4910763469/r/il/b8f56f/4910763469/il_340x270.4910763469_orv0.jpg,https://www.etsy.com/listing/1457713072/personalised-name-big-size-rattan?ref=shop_review,1457713072
1781167355-1002,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=236,"Lexi on Dec 19, 2023",2023-12-19,4.0,"Beautifully made, good quality and easy to work with.",Lexi,"Custom name rattan house shoulder  bag, unique doll house rattan bag, Kids rattan shoulder bags, rattan kids gift",5 out of 5 stars,https://i.etsystatic.com/4910613175/r/il/f3dece/4910613175/il_340x270.4910613175_6kl0.jpg,https://www.etsy.com/listing/1471898739/custom-name-rattan-house-shoulder-bag?ref=shop_review,1471898739
1781167355-1003,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=236,"Jennifer on Dec 18, 2023",2023-12-18,6.0,So cute just as pictured,Jennifer,"Custom name Big Size Rattan mushroom house bags, Rattan Fairy House, Wicker Mushroom Doll House. Perfect Nursery/kids gift",5 out of 5 stars,https://i.etsystatic.com/4910774263/r/il/43b64b/4910774263/il_340x270.4910774263_4sdq.jpg,https://www.etsy.com/listing/1471913323/personalized-big-size-rattan-mushroom?ref=shop_review,1471913323
1781167373-1035,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=238,"Joella on Apr 10, 2023",2023-04-10,1.0,I have not received it I would like my money back,Joella,"500  Color Fans lashes Premade, Volume Fans Eyelash Extensions C, CC, D Curl Russian Handmade Promade Fans, 6D, 8D lash",1 out of 5 stars,https://i.etsystatic.com/4248613384/r/il/4b0017/4248613384/il_340x270.4248613384_ckp8.jpg,https://www.etsy.com/listing/1324507635/500-color-fans-lashes-premade-volume?ref=shop_review,1324507635
1781167382-1047,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=239,"Mary on Apr 12, 2022",2022-04-12,22.0,"One of the baskets came damaged. It was very difficult to get help from the seller. I did everything the seller asked for....pictures. There was a huge delay between my messages and his responses. Without Etsy's intervention, I would have lost my money. Seller wanted me to send the damaged basket back to him at my expense. I declined. He offered a partial refund. I actually just wanted the baskets I paid for. They were out of stock. We went round and round for weeks before I got a full refund. The items were not packed well. I would not buy from this seller again.

PS. This is the only bad review I have ever written for any Etsy purchase and I have purchased many, many items over the years.",Mary,"SET OF 2 wall hanging rattan onion basket, farm house garlic hanger, egg baskets, kitchen wall decor basket for a rustic kitchen space",1 out of 5 stars,https://i.etsystatic.com/3388040956/r/il/d20742/3388040956/il_340x270.3388040956_ig8x.jpg,https://www.etsy.com/listing/1085948738/set-of-2-wall-hanging-rattan-onion?ref=shop_review,1085948738
1781167391-1053,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=240,"Wendy on Mar 13, 2022",2022-03-13,6.0,"These are absolutely perfect. Easy to hang, look amazing. Subtle but vibrant colors!",Wendy,"Set of 3 rattan  wall basket decor, african woven basket set, bohemian wall decor, wall decor boho style",5 out of 5 stars,https://i.etsystatic.com/3438166913/r/il/581c6e/3438166913/il_340x270.3438166913_w0lf.jpg,https://www.etsy.com/listing/1086673952/set-of-3-rattan-wall-basket-decor?ref=shop_review,1086673952
1781167400-1067,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=241,"Etsy buyer on Jan 25, 2022",2022-01-25,3.0,"excellent, useful basket and shipped in a jiffy!",Etsy buyer,"Rattan wall hanging baskets for organizing, wall hanging planter holder,  wall planter indoor, kitchen wall decor farmhouse",5 out of 5 stars,https://i.etsystatic.com/3435626909/r/il/d6a21b/3435626909/il_340x270.3435626909_5mf2.jpg,https://www.etsy.com/listing/1100022607/rattan-wall-hanging-baskets-for?ref=shop_review,1100022607
1781167400-1078,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=241,"Alicia on Jan 5, 2022",2022-01-05,1.0,"Not happy!  Sent the wrong item, not what I ordered.  Item was shipped from Vietnam, so I am debating sending it back.  Will not order from them again!",Alicia,"Set of 2 Boho Wall Basket Decor, Hanging Woven Wall Basket, Baskets For Shelves, Fruit Basket For Kitchen, Wicker Round Serving Tray",1 out of 5 stars,https://i.etsystatic.com/3151546384/r/il/362c97/3151546384/il_340x270.3151546384_nnv5.jpg,https://www.etsy.com/listing/1037543201/set-of-2-boho-wall-basket-decor-hanging?ref=shop_review,1037543201
1781167409-1081,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=242,"Debra on Dec 22, 2021",2021-12-22,3.0,These are really great! Thanks so much for the great communication. I am very happy with my purchase.,Debra,"SET OF 6 rattan leaf shape placemat, rattan wicker placemat, woven boho charger place for dining table",5 out of 5 stars,https://i.etsystatic.com/3260585978/r/il/4b15ce/3260585978/il_340x270.3260585978_tbi4.jpg,https://www.etsy.com/listing/1066653677/set-of-6-rattan-leaf-shape-placemat?ref=shop_review,1066653677
1781167409-1085,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=242,"Melissa on Dec 15, 2021",2021-12-15,1.0,love my new baskets...putting on my wall after holidays as is a present to myself...very cute and well made,Melissa,"Set of 3 13.5"" Wall Hanging Basket, Large Macrame Wall Hanging, Woven Wall Hanging Decor, Wall Hanging Fruit Basket",5 out of 5 stars,https://i.etsystatic.com/3332357416/r/il/069595/3332357416/il_340x270.3332357416_jko0.jpg,https://www.etsy.com/listing/1039389768/set-of-3-135-wall-hanging-basket-large?ref=shop_review,1039389768
1781167409-1087,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=242,"Lydia on Dec 7, 2021",2021-12-07,2.0,Exactly as pictured! Quick shipping as well!,Lydia,"Set of 3 13.5"" Wall Hanging Basket, Large Macrame Wall Hanging, Woven Wall Hanging Decor, Wall Hanging Fruit Basket",5 out of 5 stars,https://i.etsystatic.com/3380051073/r/il/b9d457/3380051073/il_340x270.3380051073_c7y5.jpg,https://www.etsy.com/listing/1039388594/set-of-3-135-wall-hanging-basket-large?ref=shop_review,1039388594
1781167418-1100,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=165,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=243,"Olivia on Oct 9, 2021",2021-10-09,5.0,Absolutely beautiful piece!!  And putting on the legs was super easy!  Thank you! Thank you!,Olivia,"Rattan Round Side Table, Side Table Living Room, Accent Table Lamp, perfect nightstand for any space",5 out of 5 stars,https://i.etsystatic.com/3151526978/r/il/87a077/3151526978/il_340x270.3151526978_tgkd.jpg,https://www.etsy.com/listing/1037539365/rattan-round-side-table-side-table?ref=shop_review,1037539365
1781159785-2,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25,,"Chelsea on Sep 5, 2025",2025-09-05,9.0,Great item that I know my sister will love! Plan to buy one for myself soon.,Chelsea,"Anti Social Book Club Shirt Comfort Colors, Romance Reader Tshirt, Anti Social Reader, Introverted Reader Tee, Bookish Shirt For Book Lover",5 out of 5 stars,https://i.etsystatic.com/6903717149/r/il/f8fb2c/6903717149/il_340x270.6903717149_5wiy.jpg,https://www.etsy.com/listing/4304161995/anti-social-book-club-shirt-comfort?ref=shop_review,4304161995
1781159785-4,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25,,"Blumodifer on Sep 5, 2025",2025-09-05,1.0,Great quality and print. Arrived fast.,Blumodifer,"ACOTAR Velaris Art Festival Comfort Colors Shirt, The Night Court Inspired T Shirt, SJM City Of Stars Tee, Feyre Rhysand Book Lover",5 out of 5 stars,https://i.etsystatic.com/7179112103/r/il/502615/7179112103/il_340x270.7179112103_1xhm.jpg,https://www.etsy.com/listing/4356499798/acotar-velaris-art-festival-comfort?ref=shop_review,4356499798
1781159785-6,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25,,"Margaret on Sep 4, 2025",2025-09-04,17.0,great shirt! exactly as described,Margaret,"Wizard Movie Fan Emerald City Comfort Colors Shirt, Wicked Change For Good T Shirt, Wizard University Tee, Gift For Fan",5 out of 5 stars,https://i.etsystatic.com/6597556659/r/il/64f315/6597556659/il_340x270.6597556659_k1jf.jpg,https://www.etsy.com/listing/1826335325/wizard-movie-fan-emerald-city-comfort?ref=shop_review,1826335325
1781159785-10,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25,,"Kristen on Sep 4, 2025",2025-09-04,7.0,"Loved the book, love this shirt!",Kristen,"Powerless Bookish Comfort Colors Shirt For Fan, Kai Azer I Love You TShirt, Fearless Fan Shirt, Gift for Bookworms, Romantic Quotes",5 out of 5 stars,https://i.etsystatic.com/6815056717/r/il/5f9325/6815056717/il_340x270.6815056717_gd7r.jpg,https://www.etsy.com/listing/1884023784/powerless-bookish-comfort-colors-shirt?ref=shop_review,1884023784
1781159785-11,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25,,"Kim on Sep 4, 2025",2025-09-04,4.0,Absolutely love this shirt! Might order another one just to have more than one on hand ❤️,Kim,"Wishing Well Ranch Comfort Colors Shirt, Chestnut Springs Cowboy Romance T Shirt, Bookish Cowgirl Tee, Bookish Gift For Her",5 out of 5 stars,https://i.etsystatic.com/6790331656/r/il/a37442/6790331656/il_340x270.6790331656_t49q.jpg,https://www.etsy.com/listing/1888652004/wishing-well-ranch-comfort-colors-shirt?ref=shop_review,1888652004
1781159785-12,https://www.etsy.com/shop/GONdesignJEWELRY/reviews?ref=pagination&page=25,,"Tonia on Sep 4, 2025",2025-09-04,1.0,"Great item, as described, thank you",Tonia,"Cozy Season Fall Bucket List Comfort Colors Shirt, Fall Vibes Long Sleeve, Pumpkin Lover TShirt, Women Thanksgiving Gift, Cute Autumn Tee",5 out of 5 stars,https://i.etsystatic.com/7091197884/r/il/0e2b3d/7091197884/il_340x270.7091197884_4q0h.jpg,https://www.etsy.com/listing/4348443716/cozy-season-fall-bucket-list-comfort?ref=shop_review,4348443716
