product	shop_name	price	listing_age	total_views	views_per_month	total_reviews	total_favorites	avg_reviews	shop_age	total_shop_sales	category	listing_type
"MAGIC WORLD Resin Lamp, Mystery Epoxy Lamp, Resin Night Light, Resin Wood Art Lamp, Custom Night Light, Personalized Gift for Home Decor"	BreakWooden	$157.50 	31	"41,127"	1326.7	61	"1,551"	2			Home & Living	
"Two Little Dinosaur Night Light, Handmade Ornaments, Best Friend Gifts, Unique Decor, Halloween Gift, Christmas Gift"	CraftGiftsLJ	$74.80 	36	"40,942"	1137.3	66	"1,850"	2			Home & Living	
"Godzilla Resin Lamp, Handmade Wood and Epoxy Night Light"	MiyCraft	$86.00 	10	"40,657"	4065.7	68	"1,249"	7			Home & Living	
"Pokemon gift, custom epoxy lamp, eevee evolution pokemon lamp, bedside lamp, vaporeon epoxy lamp, pokemon birthday, resin night light"	WoodResinPhoneCases	$117.98 	25	"40,579"	1623.2	27	"2,299"	1			Home & Living	
Nordic Style Tree Branch Floor Lamp with Moon- Inspired Round Resin Lamp Shade	CeiryrroLighting	$273.97 	27	"40,379"	1495.5	16	"2,911"	1			Home & Living	
"Li.nk Zel.da Resin Lamp, Link Ze.ld.a and Master Sword Resin Table lamp Anime Lamps, custom resin night light Christmas Gift for him game pc"	MelodicArtisan	$190.45 	9	"40,026"	4447.3	46	"1,285"	5			Home & Living	
"Handmade Mermaid Resin Lamp, Mermaid-Inspired Resin Art Lamp, Gift for Mermaid lovers, Fantasy Mermaid Gift, Resin Art Lamp"	Smartyleowlstore	$100.00 	80	"39,976"	499.7	26	"1,696"	0			Home & Living	
"Energy Warrior Battle Lamp, Resin Dragom Lamp, Anime Style Fight Scene, Gaming Desk Decor, Unique Gift Idea Father day"	EgoartByVan	$121.11 	6	"39,757"	6626.2	13	940	2			Home & Living	
"Mother's day Gift, Xmas Lamp, Super Hero Night light Custom Hero Resin Lamp figure Terrarium Personalized Night Light, Bedroom lamp diorama"	ResinArtisanStudio	$135.00 	16	"39,570"	2473.1	33	"1,522"	2			Home & Living	
Diorama Totk Li.nk Z.eld.a Epoxy Lamp L.ink Ze.lda Night Light Link Home Decor Night Light Epoxy art Custom Giìt idea Christmas gift for her	EgoartByVan	$132.22 	18	"39,536"	2196.4	85	"1,588"	5			Home & Living	
"Custom Valorent Epoxy lamp, Video game agent figurines Night Light, Omen Valorant lamp resin lamp, resin Diorama, Cool gifts father's day"	Hirosart	$137.25 	20	"39,525"	1976.2	20	423	1			Home & Living	
"Diver and jellyfish Night Lights , Ocean Art Epoxy Resin Wood Light Lamp, Home decor, Mom gifts, Father's Day Gift for Him"	ResinArtYPCShop	$158.00 	61	"39,455"	646.8	25	"1,895"	0			Home & Living	
"Sea Creatures , wood resin , Epoxy resin ocean lamp-Ocean resin art -Home decor- handmade gift-Arts and crafts from epoxy resin,mother gift"	ResinMion	$219.00 	42	"39,147"	932.1	20	"1,251"	0			Home & Living	
"HK Knight & Hornet Resin Lamp – Resin Wood Sherma Night Light, Gamer Gift for Him, Video Game Decor, Fan Made Merch Father's Day Gift"	ResinArtYPCShop	$116.00 	7	"39,127"	5589.6	99	"1,204"	14			Home & Living	
"DOLPHIN Epoxy Lamp, Custom Epoxy Resin Lamp, Resin Night Light, Resin Wood Art Lamp, Custom Night Light, Personalized Night Light, Gifts"	Hirosart	$129.50 	32	"38,633"	1207.3	54	"1,075"	2			Home & Living	
"Space epoxy resin lamp with wooden box, Universe Lamp, Galaxy Resin Night Light, galaxy lamp for home decor, mother's day gifts"	GiftSymphony	$99.80 	30	"38,591"	1286.4	48	"2,046"	2			Home & Living	
Sea Color Flower Ceiling Light: Resin Floral Pendant Lamp	yehudalight	$209.00 	126	"38,262"	303.7	28	"3,443"	0			Home & Living	
	JOJODIYCRAFT	$1.80 	91	"37,891"	416.4	41	"1,812"	0			Craft Supplies & Tools	
