product,shop_name,price,listing_age,total_views,views_per_month,total_reviews,total_favorites,avg_reviews,shop_age,total_shop_sales,category,listing_type
"Diver and Shark Resin Lamp – Handmade Ocean-Themed Night Light, Birthday/Christmas Gift for Children",,$44.90,69,"87,543",1268.7,98,"2,555",1,107,"5,158",Home & Living,Physical
"Darth vader diorama resin lamp, star war wall art for him, Sword lightsaber for gaming decor room",,$99.80,25,"86,778",3471.1,126,"3,360",5,39,"17,432",Home & Living,Physical
"Ring of Flame Resin Lamp – mother's day gift ideas, Custom Epoxy Resin Lamp, Lighting Home Decor, Resin Night Light, sauron lamp for him",,$99.80,19,"85,941",4523.2,92,"4,230",5,39,"17,432",Home & Living,Physical
Resin Robot Sculpture: Cyberpunk Sci-Fi Diorama Lamp,,"$18,600.00",64,"85,498",1335.9,0,"1,066",0,94,677,Art & Collectibles,Physical
"Custom Epoxy Resin Ocean Lamp, Whale, Turtle, Manta Ray Night Light, resin art, gift for home, Gift for Kid, Unique Christmas",,$109.80,20,"84,598",4229.9,105,"3,479",5,54,"31,299",Home & Living,Physical
"Custom Game Lamp, Game Figure, Hunter Figure, Epoxy resin lamp, Lamp Decor home, Hunter Statue, BloodborneFigure, Mother's day Gift, Lamps",,$135.00,26,"84,391",3245.8,87,"2,142",3,39,"20,551",Home & Living,Physical
"Atomic Bomb Resin Diorama Lamp, LED Sculpture",,$312.91,39,"83,887",2150.9,17,"2,001",0,53,408,Art & Collectibles,Physical
"Axolotl Resin Night Light: Mexican Salamander Lamp, turtles epoxy lamp, otter couple resin lamp. gift for mom",,$99.80,18,"83,446",4635.9,63,"3,143",4,34,"16,179",Home & Living,Physical
"Sea Turtle Resin Ocean Lamp - Unique Epoxy Night Light for bedroom, mother's day gifts",,$99.90,25,"81,663",3266.5,128,"3,580",5,34,"16,179",Home & Living,Physical
"Whale Shark Resin Lamp: Ocean Diorama with Divers, LED Crystal Lights",,$58.51,34,"81,431",2395.0,102,"3,083",3,41,940,Home & Living,Physical
