shop_name,listing_id,title,price,tags,etsy_url,image_url,listing_age,views,favorites,reviews,avg_reviews,state,total_sold,visibility_score,est_reviews,category,sub_category,listing_type,ship_from,when_made,who_made,is_customizable,has_variations,mo_sales,mo_revenue,total_sales_est,growth_rate,listing_active_count
GONdesignJEWELRY,4451663733,"Custom Vintage Bootleg Pet Comfort Color Shirt, Personalized Cat Portrait, Cat Remembrance Gift, Cat Shirt, Gift For Cat Mom, Cat Lover Gift",13.63,"custom pet gift, gifts for cat owners, custom cat gift, gifts for pet owners, gift for dog mom, dog dad gifts, pet photo shirt, custom pet bootleg, custom cat shirt, custom cat bootleg, dogs face shirt, pet face shirt, vintage custom cat",https://www.etsy.com/listing/4451663733/custom-vintage-bootleg-pet-comfort-color,https://i.etsystatic.com/30078352/c/2205/2205/404/208/il/7f331d/7670545342/il_170x135.7670545342_ogce.jpg,3,444,2,3333,0,active,17006,39,1,Clothing,T-shirts,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4469081051,"Loving Memory Wedding Sign, Personalized White Linen Chair sign, In Memory of Loved Ones, Wedding Aisle Sign, Remembrance Ceremony banner",32.99,"in loving memory, memorial sign, wedding signs, wedding decor, sympathy gift, memorial plaque, in memory sign, fabric wedding sign, wedding decoration, welcome sign, boho wedding decor, wedding sign, rustic wedding",https://www.etsy.com/listing/4469081051/loving-memory-wedding-sign-personalized,https://i.etsystatic.com/30078352/r/il/6150c3/7834312827/il_170x135.7834312827_hvl4.jpg,2,438,16,3333,1,active,17006,60,1,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4482546255,Personalized Linen Bar Sign Wedding Drink Sign Custom Name Event Decor Bridal Shower Signature Drinks Table Birthday Party Linen bar sign,32.99,"linen bar sign, wedding bar sign, drink sign wedding, signature drinks, bridal shower sign, custom name sign, linen wedding decor, event bar decor, baby shower sign, birthday bar sign, drink menu sign, fabric bar sign, party bar sign",https://www.etsy.com/listing/4482546255/personalized-linen-bar-sign-wedding,https://i.etsystatic.com/30078352/r/il/71d54c/7874601136/il_170x135.7874601136_k1fv.jpg,1,376,15,3333,0,active,17006,87,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4469676664,"From heaven - Memorial chair sign, Reserved Banner for Loved Ones, In Loving Memory Sign, Ceremony Tribute, Wedding Aisle Decor",32.99,"in loving memory, memorial sign, wedding signs, wedding decor, sympathy gift, memorial plaque, in memory sign, fabric wedding sign, wedding decoration, welcome sign, boho wedding, wedding sign, rustic wedding",https://www.etsy.com/listing/4469676664/from-heaven-memorial-chair-sign-reserved,https://i.etsystatic.com/30078352/r/il/5501c8/7838153515/il_170x135.7838153515_bqia.jpg,2,349,8,3333,1,active,17006,45,2,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4479236987,"Personalized Linen striped bar or event Sign, Linen Cotton Wedding, Birthday sign, Anniversary, custom name bar wedding sign, wedding banner",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign gift, linen sheet",https://www.etsy.com/listing/4479236987/personalized-linen-striped-bar-or-event,https://i.etsystatic.com/30078352/r/il/927a68/7853052484/il_170x135.7853052484_1fw2.jpg,2,347,19,3333,0,active,17006,48,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4479251201,"Custom color Linen striped bar or event Sign, Linen Cotton banner, striped Wedding, Birthday, Anniversary sign, custom name bar wedding sign",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign, linen sheet",https://www.etsy.com/listing/4479251201/custom-color-linen-striped-bar-or-event,https://i.etsystatic.com/30078352/r/il/44f3ae/7901083971/il_170x135.7901083971_p0a1.jpg,2,347,6,3333,0,active,17006,51,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4484454104,"Personalized Wedding Monogram Linen striped bar or event Sign, Custom Wedding Bar Sign: Personalized Blue Stripe Bar Cotton Linen Decor",32.99,"wedding monogram, wedding bar sign, custom bar sign, linen bar sign, stripe bar sign, wedding sign, bar banner, linen banner, blue stripe sign, event bar sign, custom wedding sign, bar decor sign, reception sign",https://www.etsy.com/listing/4484454104/personalized-wedding-monogram-linen,https://i.etsystatic.com/30078352/r/il/ca2ac6/7886111392/il_170x135.7886111392_8rxd.jpg,1,296,21,3333,0,active,17006,66,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4485272017,"Personalized Linen striped bar or event Sign, Custom Wedding Welcome Sign, linen Bar Menu Banner, Linen Cotton, Personalized Name Date",32.99,"wedding sign, baby shower sign, bridal shower sign, custom wedding sign, welcome sign, baby shower, linen sign decor, bar sign decor, fabric bar sign, signature drinks, linen bar decor, bar sign gift",https://www.etsy.com/listing/4485272017/personalized-linen-striped-bar-or-event,https://i.etsystatic.com/30078352/r/il/d4486d/7922560977/il_170x135.7922560977_mwlq.jpg,1,242,10,3333,0,active,17006,45,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4485751322,"Serious Goose Scrub Cap: Funny Nurse Euro Hat, White Cotton Tie Back, Vet Gift, Sarcastic Quote, Funny Frog for nurse, Vet Gift.",19.99,"raccoon scrub cap, funny medical hat, surfing animal cap, sarcastic scrub hat, nurse cap funny, vet tech scrub cap, men surgical cap, women scrub hat, pizza scrub cap, tired nurse gift, wildlife rehab gift, blue scrub cap, funny doctor hat",https://www.etsy.com/listing/4485751322/serious-goose-scrub-cap-funny-nurse-euro,https://i.etsystatic.com/30078352/r/il/6bd171/7941951213/il_170x135.7941951213_lnwj.jpg,1,222,7,3333,0,active,17006,54,0,Accessories,Hats & Caps,physical,VN,made_to_order,i_did,False,True,,,,,176
GONdesignJEWELRY,4494088236,"Custom Wedding Banner, Happily Ever After, Bridal Shower Sign, Wedding Backdrop, Welcome Sign, Wedding Ceremony Decor, Bachelorette banner",32.99,"bridal shower sign, welcome sign, custom banner, wedding banner, happily ever after, wedding sign, fabric sign, wedding backdrop, wedding ceremony, modern wedding decor, personalized banner, custom names date, bach sign",https://www.etsy.com/listing/4494088236/custom-wedding-banner-happily-ever-after,https://i.etsystatic.com/30078352/r/il/f7730b/7948257840/il_170x135.7948257840_m7hw.jpg,1,218,9,3333,0,active,17006,39,0,Paper & Party Supplies,Banners & Signs,physical,VN,made_to_order,i_did,False,True,,,,,176
